ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/40mA
DivSlit	2/3 deg.
DivH.L.Slit	10mm
SctSlit	2/3 deg.
RecSlit	0.3mm
Start	10
Stop	90
Step	0.02
Speed	2
Offset	0
38.66	15
38.68	5
38.7	10
38.72	18.3333
38.74	8.33333
38.76	15
38.78	6.66667
38.8	8.33333
38.82	15
38.84	8.33333
38.86	10
38.88	8.33333
38.9	11.6667
38.92	8.33333
38.94	8.33333
38.96	10
38.98	13.3333
39	8.33333
39.02	15
39.04	20
39.06	15
39.08	11.6667
39.1	13.3333
39.12	8.33333
39.14	11.6667
39.16	10
39.18	18.3333
39.2	13.3333
39.22	25
39.24	16.6667
39.26	20
39.28	16.6667
39.3	26.6667
39.32	23.3333
39.34	16.6667
39.36	16.6667
39.38	23.3333
39.4	30
39.42	38.3333
39.44	13.3333
39.46	35
39.48	35
39.5	30
39.52	33.3333
39.54	31.6667
39.56	38.3333
39.58	21.6667
39.6	55
39.62	40
39.64	55
39.66	55
39.68	65
39.7	55
39.72	73.3333
39.74	53.3333
39.76	85
39.78	95
39.8	65
39.82	86.6667
39.84	81.6667
39.86	78.3333
39.88	90
39.9	96.6667
39.92	88.3333
39.94	70
39.96	98.3333
39.98	71.6667
40	85
40.02	75
40.04	66.6667
40.06	53.3333
40.08	70
40.1	36.6667
40.12	46.6667
40.14	50
40.16	43.3333
40.18	31.6667
40.2	46.6667
40.22	28.3333
40.24	21.6667
40.26	30
40.28	18.3333
40.3	26.6667
40.32	25
40.34	18.3333
40.36	23.3333
40.38	20
40.4	15
40.42	13.3333
40.44	33.3333
40.46	11.6667
40.48	23.3333
40.5	21.6667
40.52	11.6667
40.54	23.3333
40.56	20
40.58	16.6667
40.6	18.3333
40.62	23.3333
40.64	8.33333
40.66	11.6667
40.68	23.3333
40.7	18.3333
40.72	5
40.74	10
40.76	13.3333
40.78	16.6667
40.8	8.33333
40.82	13.3333
40.84	5
40.86	11.6667
40.88	10
40.9	23.3333
40.92	11.6667
40.94	10
40.96	6.66667
40.98	15
41	18.3333
41.02	15
41.04	11.6667
41.06	6.66667
41.08	5
41.1	5
41.12	10
41.14	11.6667
41.16	15
41.18	6.66667
41.2	6.66667
41.22	18.3333
41.24	15
41.26	13.3333
41.28	16.6667
41.3	16.6667
41.32	13.3333
41.34	21.6667
41.36	11.6667
41.38	13.3333
41.4	21.6667
41.42	15
41.44	16.6667
41.46	8.33333
41.48	16.6667
41.5	15
41.52	8.33333
41.54	8.33333
41.56	13.3333
41.58	6.66667
41.6	8.33333
41.62	11.6667
41.64	6.66667
41.66	16.6667
41.68	15
41.7	1.66667
41.72	6.66667
41.74	13.3333
41.76	10
41.78	6.66667
41.8	25
41.82	3.33333
41.84	10
41.86	11.6667
41.88	6.66667
41.9	16.6667
41.92	10
41.94	6.66667
41.96	8.33333
41.98	8.33333
42	8.33333
42.02	6.66667
42.04	8.33333
42.06	1.66667
42.08	18.3333
42.1	11.6667
42.12	16.6667
42.14	8.33333
42.16	8.33333
42.18	8.33333
42.2	3.33333
42.22	6.66667
42.24	3.33333
42.26	6.66667
42.28	8.33333
42.3	13.3333
42.32	8.33333
42.34	11.6667
42.36	13.3333
42.38	6.66667
42.4	3.33333
42.42	13.3333
42.44	5
42.46	10
42.48	11.6667
42.5	8.33333
42.52	6.66667
42.54	8.33333
42.56	5
42.58	6.66667
42.6	16.6667
42.62	6.66667
42.64	10
42.66	15
42.68	6.66667
42.7	6.66667
42.72	1.66667
42.74	3.33333
42.76	8.33333
42.78	8.33333
42.8	16.6667
42.82	10
42.84	11.6667
42.86	11.6667
42.88	3.33333
42.9	3.33333
42.92	15
42.94	18.3333
42.96	16.6667
42.98	11.6667
43	10
43.02	6.66667
43.04	15
43.06	13.3333
43.08	13.3333
43.1	16.6667
43.12	8.33333
43.14	15
43.16	6.66667
43.18	8.33333
43.2	13.3333
43.22	13.3333
43.24	6.66667
43.26	6.66667
43.28	8.33333
43.3	13.3333
43.32	6.66667
43.34	10
43.36	5
43.38	5
43.4	16.6667
43.42	10
43.44	6.66667
43.46	11.6667
43.48	10
43.5	15
43.52	13.3333
43.54	16.6667
